cond,time,otu,mean_coverage,low_coverage_prop
control,4,efaecalis,0.025750044281501017,0.9991368621706651
control,4,ecoli,0.002634161122610516,1.0
control,5,saureus,0.0,1.0
control,5,lfermentum,0.0,1.0
control,5,paeruginosa,0.3960237154301495,0.9988188218811959
control,5,bsubtilis,0.10981536240001444,1.0
control,5,senterica,0.014966871361044284,1.0
control,5,lmonocytogenes,10.081568435591299,0.03361000246292002
control,5,efaecalis,0.030871937899060668,0.9977852220682132
control,5,ecoli,0.0038986759736302696,1.0
control,6,saureus,0.0,1.0
control,6,lfermentum,0.0010281440661287149,1.0
control,6,paeruginosa,0.4664577361866718,0.9984572397473578
control,6,bsubtilis,0.1236154157404796,1.0
control,6,senterica,0.014966871361044284,1.0
control,6,lmonocytogenes,11.354065639324913,0.017175943052744252
control,6,efaecalis,0.03499082037455121,0.997341704177081
control,6,ecoli,0.0038986759736302696,1.0
control,7,saureus,0.0,1.0
control,7,lfermentum,0.0014191432132782261,1.0
control,7,paeruginosa,0.5378328127247466,0.9984572397473578
control,7,bsubtilis,0.13573072111711446,1.0
control,7,senterica,0.014966871361044284,1.0
control,7,lmonocytogenes,12.632519968199258,0.007086325513812905
control,7,efaecalis,0.04286308722190515,0.9957693594505158
control,7,ecoli,0.0038986759736302696,1.0
control,8,saureus,0.0,1.0
control,8,lfermentum,0.0014191432132782261,1.0
control,8,paeruginosa,0.6650433258136224,0.9984572397473578
control,8,bsubtilis,0.16335702839724756,1.0
control,8,senterica,0.017118021656047477,1.0
control,8,lmonocytogenes,15.10410398668887,0.001601399286120794
control,8,efaecalis,0.05487672873574206,0.9945568897798296
control,8,ecoli,0.006400635908696404,1.0
control,9,saureus,0.0,1.0
control,9,lfermentum,0.0014191432132782261,1.0
control,9,paeruginosa,0.7205235108624073,0.9981745696753019
control,9,bsubtilis,0.17028164902616574,1.0
control,9,senterica,0.020176146833708036,1.0
control,9,lmonocytogenes,16.44646123173404,0.00033317927551386304
control,9,efaecalis,0.056704922134846306,0.9942314558914077
control,9,ecoli,0.006400635908696404,1.0
